,,,
"SELECT
  `TPC-DS Benchmark Model`.`Sold Calendar Week` AS `sold_calendar_week`,
  `TPC-DS Benchmark Model`.`Sold d_day_name_week` AS `sold_d_day_name_week`,
  `TPC-DS Benchmark Model`.`Sold d_week_seg` AS `sold_d_week_seg`,
  SUM(
    `TPC-DS Benchmark Model`.`Web Catalog Sales Price Growth`
  ) AS `sum_web_catalog_sales_price_growth_ok`
FROM
  `tpc-ds benchmark model`.`tpc-ds benchmark model` `TPC-DS Benchmark Model`
WHERE
  (
    `TPC-DS Benchmark Model`.`Sold Calendar Year-Week` IN (2000, 2001)
  )
GROUP BY
  1,
  2,
  3",,,
,,,
sold_calendar_week,sold_d_day_name_week,sold_d_week_seg,sum_web_catalog_sales_price_growth_ok
5242,Monday,5242,0.9995938
5322,Friday,5322,5.1851924
5247,Thursday,5247,0.9967996
5245,Saturday,5245,0.9967
5277,Sunday,5277,0.99765
5294,Saturday,5294,0.9981543
5320,Thursday,5320,1.0000519
5313,Thursday,5313,0.9997106
5268,Thursday,5268,0.9988665
5249,Tuesday,5249,0.8104741
5296,Wednesday,5296,0.9991608
5307,Thursday,5307,0.9985868
5280,Thursday,5280,1.0020203
5237,Wednesday,5237,0.9995646
5230,Saturday,5230,0.9991704
5244,Saturday,5244,0.9995958
5316,Thursday,5316,0.9997565
5252,Thursday,5252,0.9983953
5265,Wednesday,5265,0.9985397
5277,Thursday,5277,1.0031188
5282,Wednesday,5282,1.001521
5261,Thursday,5261,0.9980074
5301,Thursday,5301,0.8118326
5279,Monday,5279,0.9998055
5246,Monday,5246,0.9951228
5288,Tuesday,5288,0.998169
5257,Friday,5257,0.9983723
5279,Thursday,5279,0.3348253
5264,Tuesday,5264,0.9982002
5225,Tuesday,5225,0.9979076
5221,Monday,5221,0.9995202
5226,Sunday,5226,0.9968793
5300,Monday,5300,0.4401673
5296,Monday,5296,0.9972538
5287,Saturday,5287,1.0021378
5277,Tuesday,5277,0.999333
5257,Monday,5257,0.9995914
5245,Wednesday,5245,0.9980088
5259,Monday,5259,0.997942
5237,Tuesday,5237,1.0009541
5302,Tuesday,5302,1.0010047
5296,Sunday,5296,0.9984837
5269,Thursday,5269,0.9980641
5307,Wednesday,5307,1.0004564
5219,Tuesday,5219,0.9983111
5282,Tuesday,5282,0.9994566
5260,Monday,5260,0.9985673
5302,Wednesday,5302,1.0009628
