,,,,,,,,,,
"SELECT
    `TPC-DS Benchmark Model`.`d_warehouse_name`                 AS `d_warehouse_name`,
    `TPC-DS Benchmark Model`.`d_warehouse_square_feet`          AS `d_warehouse_square_feet`,
    `TPC-DS Benchmark Model`.`Warehouse City`                   AS `warehouse_city`,
    `TPC-DS Benchmark Model`.`Warehouse County`                 AS `warehouse_county`,
    `TPC-DS Benchmark Model`.`Warehouse State`                  AS `warehouse_state`,
    `TPC-DS Benchmark Model`.`Warehouse Country`                AS `warehouse_country`,
    `TPC-DS Benchmark Model`.`Sold Calendar Year-Week`          AS `sold_calendar_year_week`,
    `TPC-DS Benchmark Model`.`Sold Calendar Month-Week`         AS `sold_calendar_month_week`,
    SUM(`TPC-DS Benchmark Model`.`Catalog and Web Sales`)       AS `sum_catalog_and_web_sales_ok`,
    SUM( `TPC-DS Benchmark Model`.`Catalog and Web Sales Net` ) AS
    `sum_catalog_and_web_sales_net_ok`,
    SUM( `TPC-DS Benchmark Model`.`Catalog and Web Sales per Warehouse SqFt` ) AS
    `sum_catalog_and_web_sales_per_warehouse_sqft_ok`
FROM
    `tpc-ds benchmark model`.`tpc-ds benchmark model` `TPC-DS Benchmark Model`
WHERE
    `TPC-DS Benchmark Model`.`Carrier` IN ('GREAT EASTERN',
                                           'UPS')
AND `TPC-DS Benchmark Model`.`Sold Calendar Year-Week` = 1998
AND `TPC-DS Benchmark Model`.`Sold d_time_sequence` BETWEEN 46866 AND 46866+28800
GROUP BY
    1,
    2,
    3,
    4,
    5,
    6,
    7
ORDER BY
    1 LIMIT 100",,,,,,,,,,
,,,,,,,,,,
d_warehouse_name,d_warehouse_square_feet,warehouse_city,warehouse_county,warehouse_state,warehouse_country,sold_calendar_year_week,sold_calendar_month_week,sum_catalog_and_web_sales_ok,sum_catalog_and_web_sales_net_ok,sum_catalog_and_web_sales_per_warehouse_sqft_ok
(null),(null),Midway,Mesa County,CO,United States,1998,1998-06-01,21461758026,56377575222,#DIV/0!
(null),(null),Midway,Mesa County,CO,United States,1998,1998-07-01,22571985939,58545995875,#DIV/0!
(null),(null),Midway,Mesa County,CO,United States,1998,1998-03-01,21784439705,56442850539,#DIV/0!
(null),(null),Midway,Mesa County,CO,United States,1998,1998-10-01,50843338460,1.32551E+11,#DIV/0!
(null),(null),Midway,Mesa County,CO,United States,1998,1998-04-01,21719660130,56433392834,#DIV/0!
(null),(null),Midway,Mesa County,CO,United States,1998,1998-12-01,77330422457,2.00887E+11,#DIV/0!
(null),(null),Midway,Mesa County,CO,United States,(null),(null),(null),(null),(null)
(null),(null),Midway,Mesa County,CO,United States,1998,1998-05-01,22460691422,57894053116,#DIV/0!
(null),(null),Midway,Mesa County,CO,United States,1998,1998-02-01,20181868506,52723468726,#DIV/0!
(null),(null),Midway,Mesa County,CO,United States,1998,1998-01-01,21710935040,57877165365,#DIV/0!
(null),(null),Midway,Mesa County,CO,United States,1998,1998-09-01,49215221102,1.2839E+11,#DIV/0!
(null),(null),Midway,Mesa County,CO,United States,1998,1998-11-01,72845742704,1.91284E+11,#DIV/0!
(null),(null),Midway,Mesa County,CO,United States,1998,1998-08-01,49184829339,1.29379E+11,#DIV/0!
Agricultural measur,159446,Bethel,Bronx County,NY,United States,1998,1998-12-01,77431211934,2.01236E+11,485626.5565
Agricultural measur,159446,Bethel,Bronx County,NY,United States,1998,1998-02-01,20417933924,52777091840,128055.4791
Agricultural measur,159446,Bethel,Bronx County,NY,United States,1998,1998-07-01,22379626884,58097123379,140358.6599
Agricultural measur,159446,Bethel,Bronx County,NY,United States,1998,1998-09-01,49135275598,1.28492E+11,308162.4851
Agricultural measur,159446,Bethel,Bronx County,NY,United States,1998,1998-08-01,49382341673,1.29445E+11,309712.0133
