,,,,
"SELECT
    `TPC-DS Benchmark Model`.`d_product_brand_id`              AS `d_product_brand_id`,
    `TPC-DS Benchmark Model`.`d_product_brand_name`            AS `d_product_brand_name`,
    `TPC-DS Benchmark Model`.`d_product_manufacturer_id`       AS `d_product_manufacturer_id`,
    `TPC-DS Benchmark Model`.`d_product_manufacturer_name`     AS `d_product_manufacturer_name`,
    SUM( `TPC-DS Benchmark Model`.`m_ss_ext_sales_price_sum` ) AS `sum_m_ss_ext_sales_price_sum_ok`
FROM
    `tpc-ds benchmark model`.`tpc-ds benchmark model` `TPC-DS Benchmark Model`
WHERE
    ( (
            CASE
                WHEN ( `TPC-DS Benchmark Model`.`d_store_zip_code` <>
                        `TPC-DS Benchmark Model`.`d_customer_zip_code` )
                THEN true
                ELSE false
            END )
    AND (
            `TPC-DS Benchmark Model`.`Sold Calendar Year` = 1999 )
    AND (
            `TPC-DS Benchmark Model`.`Sold d_month_of_year` = 11 )
    AND (
            `TPC-DS Benchmark Model`.`d_product_manager_id` = 8 ) )
GROUP BY
    1,
    2,
    3,
    4
ORDER BY
    5 DESC ,
    2 ,
    1 ,
    3 ,
    4 LIMIT 100",,,,
,,,,
d_product_brand_id,d_product_brand_name,d_product_manufacturer_id,d_product_manufacturer_name,sum_m_ss_ext_sales_price_sum_ok
3002001,importoexporti #1,287,ationeingable,23839020.09
3003001,exportiexporti #1,469,n stcallyese,17539421.06
2003002,exportiimporto #2,241,oughteseable,16947610.69
3003002,exportiexporti #2,161,oughtcallyought,16903196.22
3001002,amalgexporti #2,225,antiableable,16855640.56
4001002,amalgedu pack #2,93,prin st,16680048.42
4001002,amalgedu pack #2,6,cally,16502706.34
5004001,edu packscholar #1,125,antiableought,16502048.47
5004001,edu packscholar #1,198,eingn stought,16374979.24
2002001,importoimporto #1,186,callyeingought,16295882.9
3002001,importoexporti #1,200,barbarable,16267524.84
4002001,importoedu pack #1,29,n stable,16255470.35
1002001,importoamalg #1,167,ationcallyought,16151194.86
4004001,edu packedu pack #1,140,bareseought,16106972.58
3002001,importoexporti #1,288,eingeingable,16074672.25
4004001,edu packedu pack #1,230,barpriable,16053191.08
5003001,exportischolar #1,54,eseanti,15909661.28
2004001,edu packimporto #1,289,n steingable,15881310.65
1003001,exportiamalg #1,666,callycallycally,15819571.43
1004002,edu packamalg #2,133,pripriought,15803234.77
2004001,edu packimporto #1,331,oughtpripri,15756298.34
2002002,importoimporto #2,94,esen st,15745710.08
1004001,edu packamalg #1,222,ableableable,15700022.38
3003001,exportiexporti #1,264,esecallyable,15696210.06
3004001,edu packexporti #1,15,antiought,15671246.42
2001001,amalgimporto #1,114,eseoughtought,15655086.07
4003002,exportiedu pack #2,581,oughteinganti,15653532.32
1002001,importoamalg #1,267,ationcallyable,15633839.64
3001001,amalgexporti #1,6,cally,15621143.52
2004001,edu packimporto #1,483,prieingese,15598099.13
1002001,importoamalg #1,126,callyableought,15585671.5
2002001,importoimporto #1,179,n stationought,15573506.29
4003001,exportiedu pack #1,329,n stablepri,15567214.17
3003001,exportiexporti #1,17,ationought,15511728.73
2002001,importoimporto #1,576,callyationanti,15433015.91
3003001,exportiexporti #1,119,n stoughtought,15387088.99
3003001,exportiexporti #1,28,eingable,15364493.27
3003001,exportiexporti #1,209,n stbarable,15328718.83
5002002,importoscholar #2,503,pribaranti,15313882.12
1001002,amalgamalg #2,61,oughtcally,15292596.92
3004001,edu packexporti #1,132,ablepriought,15258844.7
3002001,importoexporti #1,480,bareingese,15233309.75
5002001,importoscholar #1,447,ationeseese,15227414.46
3002001,importoexporti #1,435,antipriese,15225759.3
5002001,importoscholar #1,648,eingesecally,15199598.83
1001001,amalgamalg #1,96,callyn st,15192393
3001001,amalgexporti #1,287,ationeingable,15162916.49
2001001,amalgimporto #1,123,priableought,15153560.22
1002001,importoamalg #1,486,callyeingese,15118475.59
2002001,importoimporto #1,100,barbarought,15110276.77
1002001,importoamalg #1,259,n stantiable,15093948.37
1003001,exportiamalg #1,162,ablecallyought,15044380.93
2003002,exportiimporto #2,645,antiesecally,15037140.32
3003002,exportiexporti #2,217,ationoughtable,15033065.57
3001001,amalgexporti #1,204,esebarable,14884779.3
3002002,importoexporti #2,581,oughteinganti,14870154.2
5002001,importoscholar #1,265,anticallyable,14868316.18
1002002,importoamalg #2,311,oughtoughtpri,14860770.24
3002002,importoexporti #2,467,ationcallyese,14837383.25
1004002,edu packamalg #2,335,antipripri,14556378.25
4004001,edu packedu pack #1,257,ationantiable,14484126.87
1001001,amalgamalg #1,644,eseesecally,14376482.09
9004002,edu packmaxi #2,49,n stese,9686594.03
9003008,exportimaxi #8,159,n stantiought,9618678.09
2002001,importoimporto #1,614,eseoughtcally,9546058.85
9003005,exportimaxi #5,328,eingablepri,9467801.02
2001001,amalgimporto #1,19,n stought,9351408.45
5002001,importoscholar #1,688,eingeingcally,9307268.7
4001002,amalgedu pack #2,249,n steseable,9268681.15
7003007,exportibrand #7,22,ableable,9252646.38
5002001,importoscholar #1,313,prioughtpri,9238364.37
10001005,amalgunivamalg #5,353,priantipri,9111846.64
1004001,edu packamalg #1,170,barationought,9106736.51
1002001,importoamalg #1,471,oughtationese,9076960.82
3001001,amalgexporti #1,24,eseable,9019090.97
9014011,edu packunivamalg #11,151,oughtantiought,8989500.05
5002001,importoscholar #1,86,callyeing,8977342.28
3001002,amalgexporti #2,467,ationcallyese,8970544.88
2002002,importoimporto #2,302,ablebarpri,8956079.92
3003001,exportiexporti #1,436,callypriese,8955439.11
8009009,maxinameless #9,592,ablen stanti,8954558.55
4001002,amalgedu pack #2,29,n stable,8953743.11
5003002,exportischolar #2,223,priableable,8938122.75
1004001,edu packamalg #1,295,antin stable,8928467.54
8005007,scholarnameless #7,26,callyable,8926598.51
5004002,edu packscholar #2,143,prieseought,8915168.33
2002001,importoimporto #1,129,n stableought,8914812.64
5004002,edu packscholar #2,396,callyn stpri,8913390.88
3003001,exportiexporti #1,56,callyanti,8910806.73
10008007,namelessunivamalg #7,849,n steseeing,8908889.69
8006004,corpnameless #4,61,oughtcally,8905790.8
8004008,edu packnameless #8,77,ationation,8904947.67
9006002,corpmaxi #2,436,callypriese,8884774.54
1003001,exportiamalg #1,160,barcallyought,8876832.61
1002001,importoamalg #1,930,barprin st,8870163.36
1002001,importoamalg #1,172,ableationought,8860804.26
7010009,univnameless #9,181,oughteingought,8853609.37
1001001,amalgamalg #1,480,bareingese,8829627.66
7014001,edu packnameless #1,617,ationoughtcally,8827839.37
10014014,edu packamalgamalg #14,133,pripriought,8819445.58
