,,,,
"SELECT
    `TPC-DS Benchmark Model`.`d_product_brand_id`            AS `d_product_brand_id`,
    `TPC-DS Benchmark Model`.`d_product_brand_name`          AS `d_product_brand_name`,
    `TPC-DS Benchmark Model`.`Sold d_hour`                   AS `sold_d_hour`,
    `TPC-DS Benchmark Model`.`Sold d_minute`                 AS `sold_d_minute`,
    SUM( `TPC-DS Benchmark Model`.`Total  Ext Sales Price` ) AS `sum_total__ext_sales_price_ok`
FROM
    `tpc-ds benchmark model`.`tpc-ds benchmark model` `TPC-DS Benchmark Model`
WHERE
    `TPC-DS Benchmark Model`.`Sold Calendar Year-Week` = 1998
AND `TPC-DS Benchmark Model`.`Sold d_meal_time` IN ('breakfast',
                                                    'dinner')
AND `TPC-DS Benchmark Model`.`Sold d_month_of_year` = 12
AND `TPC-DS Benchmark Model`.`d_product_manager_id` = 1
GROUP BY
    1,
    2,
    4,
    5
ORDER BY
    5 DESC,
    1
LIMIT 100",,,,
,,,,
d_product_brand_id,d_product_brand_name,sold_d_hour,sold_d_minute,sum_total__ext_sales_price_ok
4001001,amalgedu pack #1,17,35,2568893.46
2003001,exportiimporto #1,17,52,2438427.32
4004001,edu packedu pack #1,17,22,2384594.58
1001001,amalgamalg #1,17,41,2334862.47
1003001,exportiamalg #1,17,25,2302924.21
3003001,exportiexporti #1,17,42,2300820.49
2003001,exportiimporto #1,17,36,2261972.78
4001001,amalgedu pack #1,17,46,2258607.12
3004001,edu packexporti #1,17,10,2246121.3
3004001,edu packexporti #1,17,12,2200419.77
1001001,amalgamalg #1,19,31,2157686.24
1004001,edu packamalg #1,17,27,2139248.75
3004001,edu packexporti #1,17,36,2137418.25
2003001,exportiimporto #1,17,34,2131877.51
4001001,amalgedu pack #1,19,31,2128273.88
1004001,edu packamalg #1,17,50,2122612.56
1003001,exportiamalg #1,19,56,2112906.53
1003001,exportiamalg #1,17,12,2112028.76
2002001,importoimporto #1,17,17,2110035.58
2003001,exportiimporto #1,17,12,2105837.17
4001001,amalgedu pack #1,17,41,2101761.97
2001001,amalgimporto #1,17,21,2097704.81
3004001,edu packexporti #1,17,49,2093332.51
2002001,importoimporto #1,17,59,2091327.93
